SNR,Type,BER
14,Pre-FEC (Raw),0.0150387968962483
14,Post-FEC (Corrected),0.00429
15,Pre-FEC (Raw),0.013376072771321152
15,Post-FEC (Corrected),0.00379
16,Pre-FEC (Raw),0.012079033677305815
16,Post-FEC (Corrected),0.00341
17,Pre-FEC (Raw),0.011147679614202292
17,Post-FEC (Corrected),0.00322
18,Pre-FEC (Raw),0.010576296753402586
18,Post-FEC (Corrected),0.00302
19,Pre-FEC (Raw),0.0099592032637389
19,Post-FEC (Corrected),0.00287
20,Pre-FEC (Raw),0.009502096975099135
20,Post-FEC (Corrected),0.00281
